epoch,train_nll,val_nll,z_mean,z_std,logdet_mean,grad_norm,lr,val_rt_mse,val_acc_frac
1,-4.4331487960453275,-9.100183582305908,0.0029360861517488956,0.8973397612571716,13.124431610107422,27.597126239462742,0.001,,
2,-11.004382809506186,-12.224992752075195,-0.13091540336608887,0.9199427962303162,16.54056167602539,55.91794788988331,0.001,,
3,-13.41047771067559,-14.552108669281006,-0.0018422571010887623,0.885582685470581,18.47468376159668,78.98097755335554,0.001,,
4,-14.827794256089609,-14.730498600006104,0.1349300593137741,0.9217864871025085,19.069902420043945,94.57061115699479,0.001,,
5,-15.77071111413497,-15.969636631011962,0.0071433717384934425,0.9754191040992737,20.731433868408203,96.26837587960159,0.001,,
6,-16.363305502300022,-16.716244888305663,0.08165746927261353,0.9859758019447327,21.61191177368164,107.22691823259184,0.001,,
7,-17.187537881392466,-18.023835563659667,0.018360763788223267,0.9100713729858398,22.170269012451172,118.37157449843008,0.001,,
8,-17.82125731359554,-18.01038875579834,0.09104779362678528,0.9688945412635803,22.750078201293945,131.80936103531076,0.001,,
9,-18.762227384349966,-18.476918601989745,0.053857527673244476,1.0373293161392212,23.867889404296875,134.76444311986995,0.001,,
10,-19.18551848206339,-19.676601791381835,-0.05586927756667137,0.9715802669525146,24.412343978881836,141.71908284440826,0.001,66.91566730481357,0.026
11,-19.64322032204157,-19.601648902893068,-0.09499666094779968,0.9353763461112976,24.02435302734375,149.04635629774648,0.001,,
12,-19.640015831476525,-19.142914390563966,0.17827929556369781,1.0300346612930298,24.611894607543945,159.92902832996995,0.001,,
13,-20.135762564743622,-20.516831970214845,-0.03418344631791115,0.9069570899009705,24.636503219604492,161.45976624307752,0.001,,
14,-20.418613385550582,-19.6045711517334,0.03248788043856621,1.0576642751693726,25.202804565429688,144.65126081056232,0.001,,
15,-20.69824771639667,-21.1596923828125,-0.12420019507408142,0.9435383081436157,25.69007110595703,170.14187284059162,0.001,,
16,-20.692650444899932,-20.52694797515869,0.02826947718858719,1.0217007398605347,25.75617218017578,162.53042100351067,0.001,,
17,-20.867953771277318,-19.130420875549316,-0.22683851420879364,1.1073130369186401,25.51907730102539,177.2555424171158,0.001,,
18,-21.184722948677933,-20.726083183288573,0.20657174289226532,1.0178014039993286,26.12464141845703,165.06158201000358,0.001,,
19,-20.663902379289457,-21.526147270202635,-0.06649160385131836,0.9587752819061279,26.143091201782227,178.8786844181109,0.001,,
20,-21.444552119774155,-21.28471450805664,0.06397007405757904,1.0302929878234863,26.615415573120117,172.3483117019074,0.001,56.06250509803846,0.0492
21,-21.49544995947729,-21.52455940246582,0.03021455556154251,1.0157705545425415,26.69598388671875,185.68353995793981,0.001,,
22,-21.416924802562857,-21.36471881866455,-0.20501098036766052,0.98281329870224,26.40680694580078,184.95623335053648,0.001,,
23,-21.56260507318038,-21.13371047973633,-0.08165957778692245,1.0022934675216675,26.19431495666504,176.81782232356977,0.001,,
24,-21.636424197426326,-20.58144607543945,0.14241056144237518,1.0730801820755005,26.443384170532227,183.10403857653654,0.001,,
25,-21.57279741311375,-19.63987293243408,-0.2757563889026642,1.1345559358596802,26.463394165039062,170.11672104461283,0.001,,
26,-21.20376811450041,-20.6185604095459,0.1166214719414711,1.0638208389282227,26.344541549682617,218.35424225239814,0.001,,
27,-21.737033674988567,-21.986171150207518,0.0922575294971466,0.9741170406341553,26.77579689025879,182.27776375299769,0.001,,
28,-21.53595562222638,-21.035749626159667,0.10387830436229706,1.0902155637741089,27.032014846801758,196.9752568112144,0.001,,
29,-22.039192561861835,-21.392603874206543,-0.06466291844844818,1.0232181549072266,26.65304946899414,196.22177201283128,0.001,,
30,-22.080104610587977,-20.007255363464356,0.39420828223228455,1.142791509628296,27.31726837158203,178.79995688909216,0.001,62.020684670414866,0.0448
31,-21.79350708104387,-20.7406946182251,-0.09355843812227249,1.1035339832305908,26.880762100219727,208.78823379323453,0.001,,
32,-22.065266210821612,-22.254124641418457,-0.05672210454940796,0.9783293008804321,27.05618667602539,174.30244397513474,0.001,,
33,-22.54594018187704,-21.980732727050782,-0.07917863130569458,1.0268430709838867,27.28179931640625,199.855997592588,0.001,,
34,-22.178823736649527,-22.227651405334473,-0.08239500224590302,0.9889100193977356,27.14929962158203,192.21504549436932,0.001,,
35,-22.315957781634754,-21.393054008483887,-0.22894012928009033,1.0750466585159302,27.432140350341797,191.04239992552166,0.001,,
36,-22.433706935447983,-22.03732261657715,0.05734593793749809,1.0424299240112305,27.485450744628906,208.352114134197,0.001,,
37,-21.78755335264568,-20.518189430236816,-0.2863202393054962,1.0895987749099731,26.865734100341797,223.1330115402801,0.001,,
38,-22.166609220866917,-21.212635231018066,-0.17667117714881897,1.0611581802368164,26.999649047851562,177.25888727888275,0.001,,
39,-22.6336872245692,-22.628417205810546,0.05540246516466141,0.992408275604248,27.570886611938477,192.6361703993399,0.001,,
40,-21.656406016289434,-20.573950958251952,-0.24180977046489716,1.0828336477279663,26.73032569885254,174.1811887523796,0.001,63.077324339483226,0.047
41,-21.836839048168326,-22.39447135925293,0.04156902804970741,0.9970816373825073,27.370628356933594,192.58966465237773,0.001,,
42,-22.790052776095234,-22.095694541931152,-0.09606239944696426,1.0389878749847412,27.540449142456055,184.97855792468107,0.001,,
43,-22.502849264989926,-22.01917133331299,-0.1369495838880539,1.0407750606536865,27.531461715698242,199.15927037106286,0.001,,
44,-22.601259424716613,-22.74407081604004,0.06310014426708221,0.9967655539512634,27.73238754272461,177.42103373853467,0.001,,
45,-22.980828587012955,-21.109643745422364,0.2500211000442505,1.1371433734893799,27.883249282836914,201.91912407211112,0.001,,
46,-22.43191142021855,-21.129977798461915,-0.06532879173755646,1.1115540266036987,27.33203125,176.3681310339819,0.001,,
47,-23.015175879756107,-21.640174102783202,0.08004342764616013,1.1303876638412476,28.059993743896484,188.94943700862837,0.001,,
48,-22.66870008541059,-20.880925178527832,0.1344156116247177,1.1930004358291626,28.084178924560547,221.19145656537407,0.001,,
49,-22.55270902416374,-21.151609039306642,0.17196106910705566,1.0658931732177734,26.980653762817383,199.98389724538296,0.001,,
50,-22.5638093827646,-21.119415855407716,0.15375147759914398,1.156734824180603,27.92567253112793,199.82108456575418,0.001,61.62291838236553,0.0478
51,-22.81445225582847,-21.208969116210938,-0.21062377095222473,1.13934326171875,27.921518325805664,188.5353094173383,0.001,,
52,-22.810976390597187,-20.31238536834717,0.18856965005397797,1.2158540487289429,27.884492874145508,208.2718303535558,0.001,,
53,-23.17347094378894,-21.914668083190918,0.18115301430225372,1.1108633279800415,28.249467849731445,216.76718603206587,0.001,,
54,-23.212777898281434,-20.972303009033205,0.05187324807047844,1.18616783618927,28.022449493408203,226.93939904321599,0.001,,
55,-22.54393978360333,-19.83495674133301,0.3314327299594879,1.1942330598831177,27.510156631469727,178.1618753747095,0.001,,
56,-22.979619424554365,-22.256381034851074,-0.0403718538582325,1.0687317848205566,27.972705841064453,212.05050765411764,0.001,,
57,-23.14923419228083,-20.293761444091796,0.11966171115636826,1.2175583839416504,27.78165626525879,194.05406922931914,0.001,,
58,-22.99754415584516,-22.29220027923584,-0.11966586112976074,1.0721648931503296,28.109786987304688,186.79868886440616,0.001,,
59,-22.579141133948216,-22.344931030273436,0.05279126018285751,1.0372873544692993,27.73572540283203,210.92157943339288,0.001,,
60,-23.43410267407381,-22.074840354919434,-0.032783545553684235,1.0908448696136475,28.03164291381836,200.33274860623516,0.001,52.1596432177857,0.063
61,-24.039107527913927,-23.169478034973146,-0.08651425689458847,1.0496553182601929,28.715333938598633,140.4646495384506,0.0005,,
62,-24.20001394537431,-23.017181587219238,0.0492803230881691,1.0835403203964233,28.8941593170166,190.11989786655087,0.0005,,
63,-24.31698422492305,-23.672312545776368,-0.012744247913360596,1.0583399534225464,29.2721004486084,208.01209490812278,0.0005,,
64,-24.580737270886384,-23.33348865509033,-0.05485966429114342,1.1010414361953735,29.406768798828125,208.14532345156127,0.0005,,
65,-24.4331695460066,-23.80477123260498,0.019646286964416504,1.0464162826538086,29.280412673950195,219.00155349924594,0.0005,,
66,-24.628799679913097,-23.707756423950194,0.020166633650660515,1.0826122760772705,29.56757164001465,238.7048150557506,0.0005,,
67,-24.249963398221173,-23.49448471069336,0.047284744679927826,1.0635027885437012,29.163999557495117,247.7692060832736,0.0005,,
68,-23.651844362669355,-23.436759376525877,-0.010510637424886227,1.0358859300613403,28.799253463745117,318.897095595734,0.0005,,
69,-24.164935703519024,-23.383495330810547,-0.021841533482074738,1.0732231140136719,29.145597457885742,319.8026463955264,0.0005,,
70,-24.5922173850144,-23.6058708190918,-0.035518139600753784,1.0936551094055176,29.588890075683594,233.51241022423852,0.0005,42.77081211538211,0.0922
71,-24.580541345137583,-23.153596115112304,0.12302464991807938,1.1108944416046143,29.39571189880371,226.03625787662554,0.0005,,
72,-24.330370601219467,-23.452121925354003,-0.017358075827360153,1.0975580215454102,29.474700927734375,274.22919048840487,0.0005,,
73,-24.519944565205634,-23.426106262207032,0.002450775820761919,1.0858709812164307,29.32045555114746,280.92016572590114,0.0005,,
74,-24.277556455588037,-23.92858715057373,-0.021682213991880417,1.057982325553894,29.525527954101562,255.95296130602873,0.0005,,
75,-24.723809350894975,-23.40299129486084,0.15327849984169006,1.1080864667892456,29.657787322998047,276.2155107908611,0.0005,,
76,-24.82175839098194,-23.22128391265869,-0.11340420693159103,1.1311709880828857,29.685855865478516,271.58126155032386,0.0005,,
